1.0 277
2.0 254
3.0 252
4.0 265
5.0 266
6.0 266
7.0 274
8.0 285
9.0 299
10.0 286
11.0 307
12.0 297
13.0 277
14.0 299
15.0 300
16.0 283
17.0 290
18.0 297
19.0 284
20.0 328
21.0 296
22.0 321
23.0 330
24.0 325
25.0 331
26.0 332
27.0 388
28.0 339
29.0 366
30.0 368
31.0 345
32.0 403
33.0 388
34.0 422
35.0 431
36.0 413
37.0 415
38.0 394
39.0 431
40.0 401
41.0 443
42.0 425
43.0 487
44.0 502
45.0 489
46.0 499
47.0 499
48.0 525
49.0 540
50.0 515
51.0 506
52.0 563
53.0 578
54.0 583
55.0 589
56.0 588
57.0 615
58.0 639
59.0 635
60.0 664
61.0 650
62.0 706
63.0 678
64.0 669
65.0 783
66.0 830
67.0 823
68.0 832
69.0 918
70.0 865
71.0 896
72.0 916
73.0 812
74.0 864
75.0 826
76.0 881
77.0 882
78.0 915
79.0 894
80.0 989
81.0 970
82.0 991
83.0 976
84.0 976
85.0 1029
86.0 1028
87.0 1042
88.0 1055
89.0 1056
90.0 1137
91.0 1130
92.0 1111
93.0 1151
94.0 1186
95.0 1223
96.0 1274
97.0 1208
98.0 1314
99.0 1301
100.0 1317
