  0   20.066  1.120   2.092  0.084
  1   20.363  0.389   2.023  0.050
  2   21.498  0.706   1.939  0.115
  3   19.709  0.791   1.963  0.118
  4   21.192  1.225   2.132  0.097
  5   16.631  1.479   1.877  0.112
  6   19.913  0.400   1.993  0.048
  7   20.196  1.061   1.845  0.089
  8   20.900  1.041   2.100  0.060
  9   18.470  0.926   2.097  0.089
 10   20.488  0.865   1.980  0.106
 11   19.451  1.081   2.025  0.082
 12   18.936  0.542   1.981  0.048
 13   20.066  0.965   1.990  0.109
 14   20.237  0.501   2.063  0.049
 15   20.707  1.130   1.897  0.118
 16   20.167  0.937   2.069  0.092
 17   19.277  0.465   2.011  0.024
 18   20.204  1.258   1.866  0.124
 19   20.757  0.955   2.108  0.111
 20   21.455  0.978   1.989  0.109
 21   21.419  0.762   1.966  0.117
 22   19.834  0.519   1.971  0.039
 23   19.471  0.384   1.952  0.047
 24   19.674  1.055   1.849  0.106
 25   20.059  0.339   2.016  0.028
 26   19.063  0.861   1.979  0.084
 27   22.213  1.163   2.073  0.106
 28   21.985  1.178   2.054  0.082
 29   20.189  0.292   2.011  0.032
 30   19.841  0.293   2.010  0.034
 31   19.289  0.835   2.026  0.115
 32   20.197  0.698   1.916  0.054
 33   20.546  1.023   2.041  0.099
 34   18.375  1.179   1.990  0.094
 35   20.312  0.756   2.062  0.109
 36   19.609  1.003   2.094  0.106
 37   19.680  0.656   2.168  0.085
 38   19.720  0.995   1.899  0.088
 39   19.353  0.394   2.041  0.043
 40   20.030  0.828   2.075  0.062
 41   21.528  0.783   1.907  0.092
 42   20.616  0.379   2.023  0.056
 43   19.050  0.918   1.934  0.132
 44   19.182  0.734   2.121  0.090
 45   19.754  0.943   1.943  0.093
 46   17.939  1.346   2.089  0.086
 47   20.038  1.482   1.964  0.151
 48   19.929  0.199   2.044  0.028
 49   19.623  0.284   2.009  0.026
 50   19.347  0.594   2.084  0.035
 51   19.525  0.831   2.137  0.103
 52   20.803  1.329   2.148  0.138
 53   19.366  0.976   2.000  0.095
 54   19.873  0.581   2.039  0.041
 55   19.748  1.156   2.156  0.077
 56   20.235  0.226   2.064  0.036
 57   19.743  1.115   2.002  0.068
 58   19.999  0.199   1.960  0.036
 59   19.789  0.544   2.025  0.032
 60   20.317  0.291   1.962  0.038
 61   20.099  0.443   2.049  0.034
 62   20.056  0.282   1.989  0.037
 63   19.827  0.408   2.068  0.043
 64   19.958  0.241   1.911  0.041
 65   20.198  0.189   2.008  0.035
 66   19.890  0.376   2.034  0.033
 67   21.094  0.989   2.002  0.097
 68   19.981  0.242   2.008  0.035
 69   20.086  0.987   1.953  0.067
 70   19.794  0.325   2.024  0.052
 71   19.982  0.307   1.948  0.056
 72   19.746  0.994   2.019  0.066
 73   19.779  1.107   2.040  0.123
 74   19.871  0.430   1.980  0.042
 75   19.904  0.618   2.022  0.058
 76   20.478  0.399   1.971  0.027
 77   19.442  0.424   2.037  0.020
 78   20.607  0.997   1.999  0.105
 79   20.953  0.421   2.033  0.034
 80   20.568  0.472   1.990  0.041
 81   18.816  1.263   2.018  0.120
 82   19.858  0.492   2.018  0.056
 83   19.681  0.194   1.967  0.033
 84   20.457  0.610   1.982  0.040
 85   20.458  0.927   1.912  0.088
 86   21.109  1.234   2.107  0.099
 87   19.834  0.377   2.001  0.036
 88   20.195  0.431   2.045  0.039
 89   20.118  1.046   1.913  0.095
 90   19.935  0.249   2.012  0.032
 91   19.927  1.076   1.925  0.107
 92   21.019  0.741   1.944  0.097
 93   20.202  0.792   1.967  0.114
 94   19.367  0.418   2.017  0.028
 95   20.283  0.407   2.000  0.034
 96   18.608  1.175   1.950  0.057
 97   20.620  0.436   1.943  0.033
 98   20.666  1.199   1.818  0.141
 99   18.163  0.651   1.980  0.087
100   20.593  0.393   2.116  0.047
101   20.895  0.713   1.966  0.107
102   20.040  0.307   2.028  0.031
103   18.468  0.792   1.993  0.090
104   20.245  0.415   1.990  0.034
105   20.487  0.492   2.007  0.027
106   19.197  0.576   1.878  0.055
107   19.565  0.431   2.060  0.043
108   20.413  0.493   2.032  0.041
109   20.287  0.395   2.012  0.033
110   19.856  1.060   2.058  0.112
111   19.588  0.564   1.946  0.107
112   20.934  0.462   2.053  0.037
113   19.770  0.386   2.005  0.047
114   18.733  0.815   2.196  0.073
115   19.476  0.492   1.995  0.040
116   19.418  1.044   2.177  0.114
117   19.825  0.501   2.026  0.022
118   20.401  0.328   2.034  0.019
119   19.964  0.301   2.006  0.028
120   19.922  1.337   2.027  0.111
121   19.856  0.427   2.011  0.046
122   21.141  0.473   2.024  0.026
123   20.075  1.205   2.001  0.143
124   20.190  0.221   1.898  0.046
125   19.053  0.828   1.827  0.109
126   21.201  1.055   1.942  0.050
127   20.656  0.444   1.980  0.045
128   20.517  0.333   2.047  0.042
129   20.281  0.352   2.057  0.050
130   20.484  0.488   2.037  0.043
131   19.689  0.558   1.909  0.084
132   20.093  1.195   2.177  0.068
133   20.142  0.492   2.087  0.047
134   17.536  1.027   2.141  0.080
135   20.577  0.503   2.090  0.111
136   20.312  0.408   2.006  0.049
137   19.620  0.369   2.004  0.028
138   21.561  1.030   1.929  0.112
139   19.918  0.487   2.041  0.051
140   19.383  0.906   2.122  0.100
141   21.694  1.315   2.014  0.076
142   19.869  0.397   2.013  0.040
143   18.814  0.429   2.029  0.030
144   20.327  0.546   1.971  0.041
145   20.134  0.481   2.001  0.060
146   20.059  0.315   2.016  0.045
147   19.853  0.532   1.973  0.050
148   19.991  1.055   2.122  0.104
149   19.244  0.753   2.177  0.100
150   19.745  1.138   1.946  0.081
151   17.871  1.161   2.165  0.076
152   19.980  0.387   2.049  0.051
153   19.504  0.494   1.959  0.034
154   19.147  0.806   2.086  0.103
155   19.233  1.026   2.209  0.117
156   19.564  0.790   1.830  0.098
157   20.323  0.481   2.042  0.048
158   19.983  1.088   2.267  0.108
159   18.884  0.786   2.043  0.062
160   19.862  0.305   2.059  0.038
161   19.692  0.404   1.948  0.049
162   20.254  0.231   2.033  0.041
163   19.721  0.386   2.097  0.039
164   20.451  0.902   1.930  0.116
165   20.675  0.381   1.976  0.034
166   20.473  0.386   1.963  0.032
167   19.870  0.386   1.930  0.049
168   18.308  1.471   2.057  0.120
169   19.722  0.386   1.999  0.032
170   20.165  0.481   2.019  0.034
171   20.323  0.310   2.005  0.032
172   18.986  1.513   2.073  0.111
173   19.556  0.447   2.032  0.054
174   20.907  0.822   2.066  0.122
175   21.447  1.035   2.161  0.077
176   20.346  0.744   1.871  0.100
177   20.377  0.599   1.923  0.091
178   20.619  0.652   2.053  0.051
179   20.010  1.054   2.082  0.133
180   19.082  1.016   1.984  0.092
181   20.927  1.095   1.987  0.074
182   19.473  0.492   1.965  0.050
183   20.142  1.045   2.043  0.066
184   19.987  0.437   2.040  0.076
185   21.625  1.081   1.997  0.036
186   19.708  1.077   2.130  0.074
187   20.246  0.939   2.072  0.083
188   20.559  1.109   2.025  0.122
189   20.422  1.113   2.153  0.103
190   20.126  0.787   2.114  0.113
191   21.251  0.802   2.012  0.089
192   19.669  0.743   2.042  0.087
193   19.976  0.726   2.017  0.086
194   20.193  0.772   2.052  0.136
195   20.245  0.309   2.051  0.047
196   20.439  0.502   2.016  0.041
197   18.723  1.095   2.128  0.089
198   19.520  0.542   2.171  0.097
199   20.377  0.997   2.056  0.102
200   19.660  0.406   2.050  0.041
201   19.354  0.526   2.018  0.039
202   19.345  0.731   2.057  0.067
203   21.393  1.215   2.109  0.113
204   20.128  0.337   2.070  0.040
205   18.235  1.180   2.097  0.077
206   20.007  0.417   1.959  0.059
207   20.045  1.105   2.105  0.107
208   21.231  1.192   2.030  0.083
209   18.292  1.094   1.873  0.140
210   20.089  0.478   1.974  0.042
211   19.888  0.333   1.966  0.045
212   20.056  0.386   1.995  0.029
213   19.140  0.755   2.038  0.080
214   20.259  0.657   2.119  0.086
215   21.144  0.768   1.971  0.079
216   18.996  0.778   2.108  0.116
217   20.690  0.876   1.938  0.106
218   17.530  1.022   2.024  0.082
219   19.778  0.395   2.112  0.064
220   18.719  1.017   1.907  0.060
221   20.021  0.266   2.066  0.029
222   20.001  0.400   2.057  0.039
223   19.958  0.708   1.986  0.042
224   22.018  1.671   1.931  0.108
225   19.877  1.114   2.188  0.125
226   19.980  0.732   2.183  0.079
227   21.463  1.295   2.119  0.116
228   20.139  0.404   2.036  0.027
229   19.800  0.403   1.955  0.044
230   20.128  0.993   1.813  0.109
231   20.640  1.071   1.917  0.087
232   20.171  0.433   2.039  0.032
233   20.521  0.435   2.039  0.044
234   21.143  0.598   2.034  0.051
235   20.227  0.809   1.842  0.094
236   19.836  1.104   1.980  0.064
237   20.063  1.286   1.912  0.108
238   20.429  0.433   1.969  0.043
239   20.092  0.563   2.121  0.105
240   19.348  0.951   2.129  0.091
241   18.321  1.293   2.116  0.133
242   22.377  1.179   1.991  0.089
243   19.198  0.595   2.012  0.038
244   18.769  1.086   1.945  0.101
245   19.618  0.436   2.068  0.032
246   20.798  0.901   2.147  0.105
247   19.573  0.382   1.994  0.033
248   20.624  0.645   2.158  0.107
249   18.567  1.061   2.105  0.101
250   20.456  0.522   2.052  0.026
251   17.542  0.999   2.032  0.108
252   21.074  0.807   1.964  0.118
253   18.777  1.144   1.969  0.080
254   19.572  0.462   1.992  0.030
255   19.974  0.430   2.012  0.034
256   19.771  0.440   2.112  0.044
257   21.540  1.152   1.941  0.112
258   19.736  0.854   2.145  0.079
259   22.643  1.323   2.055  0.082
260   19.530  0.683   2.013  0.053
261   17.069  1.253   1.873  0.118
262   20.596  0.494   2.070  0.039
263   19.397  0.454   1.893  0.054
264   19.995  0.334   2.044  0.027
265   19.350  0.384   2.043  0.057
266   21.592  1.019   2.002  0.062
267   18.970  0.931   1.845  0.137
268   19.086  0.865   2.007  0.086
269   19.880  0.587   2.015  0.049
270   20.161  0.149   2.016  0.060
271   19.603  1.060   1.984  0.133
272   18.048  0.827   2.046  0.099
273   20.674  1.169   2.027  0.109
274   20.202  0.336   2.068  0.044
275   21.612  1.322   2.066  0.101
276   19.536  0.969   2.157  0.100
277   19.733  1.093   2.023  0.113
278   20.560  0.400   2.065  0.059
279   20.330  0.369   2.032  0.044
280   17.384  1.304   1.826  0.100
281   19.800  0.367   2.128  0.051
282   20.670  0.980   2.075  0.084
283   20.388  0.985   2.021  0.083
284   18.878  1.242   2.033  0.109
285   19.765  0.458   1.966  0.036
286   19.228  0.454   1.964  0.039
287   18.748  1.082   2.007  0.129
288   19.764  0.854   2.119  0.117
289   20.499  0.579   2.089  0.121
290   21.344  0.759   1.982  0.030
291   20.836  0.557   2.046  0.087
292   18.994  1.083   2.069  0.082
293   19.941  1.024   1.997  0.065
294   20.450  1.068   2.022  0.065
295   18.095  0.717   2.107  0.100
296   19.339  1.268   1.993  0.144
297   19.824  0.286   2.042  0.034
298   18.212  1.290   2.101  0.104
299   20.027  0.338   2.063  0.036
300   18.250  1.138   1.994  0.104
301   21.148  1.226   1.889  0.085
302   21.277  1.213   2.058  0.108
303   19.891  0.360   2.080  0.028
304   20.440  0.384   2.029  0.034
305   20.258  0.279   2.002  0.026
306   20.625  0.433   2.005  0.026
307   20.762  1.154   2.075  0.118
308   20.567  1.006   2.133  0.119
309   19.791  0.433   1.986  0.052
310   20.552  0.446   2.048  0.045
311   20.388  1.318   2.093  0.108
312   20.408  0.449   2.011  0.036
313   20.605  0.915   2.074  0.139
314   18.513  1.369   1.878  0.104
315   21.178  0.773   1.925  0.114
316   19.267  1.139   2.041  0.108
317   20.033  0.805   2.065  0.112
318   20.236  0.429   2.025  0.042
319   19.914  0.438   2.039  0.031
320   20.880  0.301   2.003  0.039
321   19.742  0.835   2.068  0.114
322   19.108  1.117   2.279  0.118
323   19.056  0.859   2.137  0.097
324   19.569  0.984   2.040  0.106
325   20.271  0.901   1.983  0.103
326   19.713  0.943   2.126  0.085
327   20.413  0.902   2.024  0.067
328   20.721  0.901   2.048  0.116
329   19.217  0.773   1.965  0.061
330   20.927  0.457   2.049  0.040
331   20.325  0.851   1.921  0.112
332   20.527  1.074   2.053  0.110
333   20.240  0.950   2.121  0.104
334   19.762  0.404   2.106  0.050
335   20.131  0.094   2.127  0.039
336   21.584  0.995   2.098  0.118
337   19.663  0.330   2.058  0.050
338   19.599  0.240   1.998  0.056
339   17.548  0.766   1.798  0.110
340   20.434  0.475   2.051  0.055
341   19.950  0.164   1.997  0.051
342   20.950  1.214   2.037  0.086
343   18.786  0.761   2.008  0.066
344   18.814  0.944   1.869  0.089
345   20.956  1.253   1.939  0.104
346   18.618  0.984   1.813  0.128
347   20.158  1.082   2.101  0.102
348   20.603  0.397   2.048  0.024
349   19.136  0.704   1.953  0.082
